Maand	Kwartaal	Legaal	Illegaal	Illegaal_met_expansie	Volume_basis	Volume_hoog	BSR_basis	BSR_hoog
2021-10-01	Q4-2021	2.095.560	299.600	308.588	87,49%	87,16%	77%	69%
2021-11-01	Q4-2021	1.655.800	256.920	264.628	86,57%	86,22%	76%	68%
2021-12-01	Q4-2021	1.876.690	273.550	281.757	87,28%	86,95%	77%	69%
2022-01-01	Q1-2022	1.829.370	268.480	276.534	87,20%	86,87%	77%	69%
2022-02-01	Q1-2022	1.763.190	234.680	241.720	88,25%	87,94%	78%	71%
2022-03-01	Q1-2022	2.054.990	244.800	252.144	89,36%	89,07%	80%	73%
2022-04-01	Q2-2022	2.329.330	230.620	237.539	90,99%	90,75%	83%	77%
2022-05-01	Q2-2022	2.442.820	243.590	250.898	90,93%	90,69%	83%	76%
2022-06-01	Q2-2022	2.203.140	222.880	229.566	90,81%	90,56%	83%	76%
2022-07-01	Q3-2022	2.133.500	215.440	221.903	90,83%	90,58%	83%	76%
2022-08-01	Q3-2022	2.846.110	223.170	229.865	92,73%	92,53%	86%	80%
2022-09-01	Q3-2022	2.912.710	238.260	245.408	92,44%	92,23%	86%	80%
2022-10-01	Q4-2022	3.335.750	242.690	249.971	93,22%	93,03%	87%	82%
2022-11-01	Q4-2022	4.071.170	238.030	245.171	94,48%	94,32%	89%	85%
2022-12-01	Q4-2022	3.929.240	249.840	257.335	94,02%	93,85%	88%	84%
2023-01-01	Q1-2023	3.726.690	244.910	252.257	93,83%	93,66%	88%	83%
2023-02-01	Q1-2023	3.353.380	223.510	230.215	93,75%	93,58%	88%	83%
2023-03-01	Q1-2023	3.961.470	254.820	262.465	93,96%	93,79%	88%	83%
2023-04-01	Q2-2023	3.835.280	263.820	271.735	93,56%	93,38%	88%	82%
2023-05-01	Q2-2023	3.911.320	285.820	294.395	93,19%	93,00%	87%	82%
2023-06-01	Q2-2023	3.378.540	285.970	294.549	92,20%	91,98%	85%	79%
2023-07-01	Q3-2023	3.326.570	301.590	310.638	91,69%	91,46%	84%	78%
2023-08-01	Q3-2023	3.782.910	309.050	318.322	92,45%	92,24%	86%	80%
2023-09-01	Q3-2023	3.969.460	349.250	359.728	91,91%	91,69%	85%	79%
2023-10-01	Q4-2023	4.459.100	425.690	438.461	91,29%	91,05%	84%	77%
2023-11-01	Q4-2023	3.997.340	438.330	451.480	90,12%	89,85%	82%	75%
2023-12-01	Q4-2023	4.532.970	545.250	561.608	89,26%	88,98%	80%	73%
2024-01-01	Q1-2024	4.250.520	541.350	557.591	88,70%	88,40%	79%	72%
2024-02-01	Q1-2024	3.886.540	517.210	532.726	88,26%	87,95%	78%	71%
2024-03-01	Q1-2024	4.099.860	558.950	575.719	88,00%	87,69%	78%	70%
2024-04-01	Q2-2024	3.950.460	618.660	637.220	86,46%	86,11%	76%	67%
2024-05-01	Q2-2024	4.093.390	633.430	652.433	86,60%	86,25%	76%	68%
2024-06-01	Q2-2024	4.409.380	668.250	688.298	86,84%	86,50%	76%	68%
2024-07-01	Q3-2024	4.257.600	664.690	684.631	86,50%	86,15%	76%	67%
