Date;Kwartaal;Legaal;Illegaal;Illegaal_met_expansie;Volume_basis;Volume_hoog;BSR_basis;Basis_hoog
2021-10-01;Q4-2021;2095560;299600;308588;0,874914411;0,871643509;0,772489472;0,693589963
2021-11-01;Q4-2021;1655800;256920;264627,6;0,865678196;0,862203813;0,75778406;0,675924246
2021-12-01;Q4-2021;1876690;273550;281756,5;0,872781643;0,869463292;0,769071262;0,689462867
2022-01-01;Q1-2022;1829370;268480;276534,4;0,872021355;0,868686157;0,767856031;0,687998661
2022-02-01;Q1-2022;1763190;234680;241720,4;0,8825349;0,879435809;0,7848152;0,708577632
2022-03-01;Q1-2022;2054990;244800;252144;0,893555499;0,890711159;0,802956928;0,730943274
2022-04-01;Q2-2022;2329330;230620;237538,6;0,909912303;0,907459774;0,830596213;0,765736852
2022-05-01;Q2-2022;2442820;243590;250897,7;0,909325084;0,906858206;0,829588815;0,764453133
2022-06-01;Q2-2022;2203140;222880;229566,4;0,908129364;0,905633331;0,827541039;0,761847339
2022-07-01;Q3-2022;2133500;215440;221903,2;0,908282034;0,905789718;0,827802236;0,762179438
2022-08-01;Q3-2022;2846110;223170;229865,1;0,927289136;0,925270819;0,860933931;0,80496245
2022-09-01;Q3-2022;2912710;238260;245407,8;0,924385189;0,922293019;0,855792006;0,798236
2022-10-01;Q4-2022;3335750;242690;249970,7;0,932179944;0,93028718;0,869660682;0,816452736
2022-11-01;Q4-2022;4071170;238030;245170,9;0,944762369;0,943199366;0,892504542;0,846981225
2022-12-01;Q4-2022;3929240;249840;257335,2;0,940216507;0,938533243;0,884185244;0,835787009
2023-01-01;Q1-2023;3726690;244910;252257,3;0,938334676;0,936602;0,880763365;0,831208134
2023-02-01;Q1-2023;3353380;223510;230215,3;0,937512755;0,935758566;0,87927282;0,82921823
2023-03-01;Q1-2023;3961470;254820;262464,6;0,939562981;0,937862532;0,882995432;0,834193223
2023-04-01;Q2-2023;3835280;263820;271734,6;0,935639531;0,933836466;0,87588483;0,824705593
2023-05-01;Q2-2023;3911320;285820;294394,6;0,931901247;0,930001289;0,869161131;0,81579245
2023-06-01;Q2-2023;3378540;285970;294549,1;0,921962281;0,919808888;0,851524214;0,792677506
2023-07-01;Q3-2023;3326570;301590;310637,7;0,91687522;0,914594457;0,842629248;0,781163133
2023-08-01;Q3-2023;3782910;309050;318321,5;0,924473846;0,922383923;0,855948554;0,798440313
2023-09-01;Q3-2023;3969460;349250;359727,5;0,919130944;0,916906463;0,846562584;0,786243035
2023-10-01;Q4-2023;4459100;425690;438460,7;0,912853981;0,910473657;0,835660067;0,772207779
2023-11-01;Q4-2023;3997340;438330;451479,9;0,901180656;0,89851693;0,815733764;0,74691789
2023-12-01;Q4-2023;4532970;545250;561607,5;0,892629701;0,889763675;0,80141827;0,729032048
2024-01-01;Q1-2024;4250520;541350;557590,5;0,887027403;0,884031263;0,792164901;0,717594263
2024-02-01;Q1-2024;3886540;517210;532726,3;0,88255237;0,879453678;0,784843661;0,708612432
2024-03-01;Q1-2024;4099860;558950;575718,5;0,88002301;0,876866895;0,780732836;0,703595177
2024-04-01;Q2-2024;3950460;618660;637219,8;0,864599748;0,861101945;0,756083428;0,673896202
2024-05-01;Q2-2024;4093390;633430;652432,9;0,865992358;0,862524811;0,75828011;0,676516377
2024-06-01;Q2-2024;4409380;668250;688297,5;0,868393325;0,864978218;0,762080721;0,681061849
2024-07-01;Q3-2024;4257600;664690;684630,7;0,864963259;0,861473342;0,756656277;0,674578995
